id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
e19d9dc3-399b-48df-8013-b7f278db77e2,0,OUTLIER AI,ORGANIZATION,"Outlier AI is a company specializing in AI data annotation, where visual data is labeled and described for AI model training purposes",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
e3a97d7e-6a93-4f58-b93c-87dd5267e5e8,1,UNIVERSITY IEEE STUDENT BRANCH,ORGANIZATION,"The University IEEE Student Branch is a student-led organization focused on technical initiatives, workshops, and events related to engineering and technology",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,4,0,0
9e03aa7b-711e-456e-b860-17d1a1bfa15a,2,UNIVERSITY OF X,ORGANIZATION,"University of X is an academic institution where robotics research and development, including experimental design and prototyping, is conducted",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,2,0,0
8894c201-e8ef-4b45-a72b-a8c45435b530,3,HACK THE NORTH 2025,EVENT,Hack the North 2025 is a collaborative hackathon event where participants rapidly develop innovative projects,['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,4,0,0
74c1ea5f-cd35-48fe-a08b-2b8feb16a883,4,ENGINEERING COMPETITION 2025,EVENT,"The Engineering Competition 2025 is a university-hosted event where students compete in engineering challenges, with awards for top projects",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,3,0,0
1233eede-d99e-40de-9640-45e3f0e5e33f,5,"CITY, ON",GEO,"City, ON is a location in Ontario, Canada, where various educational and professional activities are based",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,6,0,0
f09ba58d-c7f9-46e0-92bb-ca091ef5157c,6,SAMUEL NAMARA,PERSON,Samuel Namara is a robotics research assistant preparing to support experimental design and prototyping at University of X,['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
fb2a8e37-39fc-4e64-be46-72f37ac06ab9,7,IEEE STUDENT BRANCH WEBSITE,ORGANIZATION,"The website developed and maintained by the University IEEE Student Branch, providing event information and resources for members",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
4da5258f-a47a-43a2-8273-40df26850476,8,H2@HOME,EVENT,"H2@Home is a project developed for the Engineering Competition 2025, focused on decentralized hydrogen generation systems",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
c2a756ca-b324-4a3e-8447-f642a04f8aa6,9,SUD - SMART UNDERWRITING DASHBOARD,EVENT,SUD is a project developed at Hack the North 2025 to streamline insurance underwriting decisions using AI and process optimization,['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
2cca73e6-d7de-4f7e-a873-8802ed09a231,10,GROUP APP,EVENT,"Group App is a project designed to help groups organize tasks, events, and communication, developed in a collaborative environment",['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
64211020-db76-4406-868b-3411925bade7,11,CANADIAN UNIVERSITY,,,['db7caae73d39341d7a1a5ef90a8a478107ac669ffc2519f2f02cab2b0412b88bf2258fc4666139e1ae4ada18095388f221feb84e1b49b69f237fa9eebb35b824'],1,1,0,0
